strežba,5.07,cerklje na gorenjskem,1,dlje časa (občasno),dopoldan,začasno in občasno delo,Delo poteka v šanku na spodnji postaji gondole na Krvavec. Zaželene so izkušnje s strežbo. 
promocija,5.49,maribor,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,"Podjetje išče osebo za promocijo izdelka na športnih in ostalih dogodkih. Prednost imajo kandidati/ke dodiplomskega študija. Urnik dela je znan za mesec dni vnaprej in je fleksibilen. Delo poteka vsaj 7 krat na mesec. Uporablja se službeno vozilo. Pogoji: izpit B kategorije, družabnost in tekoče znanje slovenskega jezika. Pošlji CV na mail. "
pomoč pri prodaji,4.50,maribor,3,dlje časa (občasno),izmensko,začasno in občasno delo,"Podjetje išče komunikativni in vedoželjni osebi za delo v knjigarni. Delo poteka 2- ali 3-krat na teden in vsako drugo nedeljo.  Pogoj je starost nad 20 let. V kolikor si želite delati v prijetnem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: MARIBOR. "
pomoč pri prodaji,4.50,koper,2,dlje časa (občasno),izmensko,začasno in občasno delo,"Podjetje išče komunikativni in vedoželjni osebi za delo v knjigarni. Delo poteka 2- ali 3-krat na teden in vsako tretjo nedeljo. V kolikor si želite delati v prijetnem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: KOPER. "
administrativna dela,5.00,ljubljana,1,dlje časa (občasno)/2-3x na teden,dopoldan,začasno in občasno delo,"Delo v podjetju, ki se ukvarja z letalskimi prevozi. Delo v administraciji, delo s strankami, planiranje, trženje, urejanje letalske dokumentacije in priprava letal. Zahtevano je znanje angleškega jezika in osnovna računalniška znanja. Oseba mora biti zanesljiva, natančna. Prijave s svojim CV-jem pošljite po e-pošti. "
marketingasistent,5.50,kamnik,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Iščejo asistenta v marketingu za italijanski trg. Ali imaš - visoko motivacijo in strast do prevajanja, družbenih omrežij in online oglaševanja? Odlično pisno in ustno znanje italijanskega jezika (C1 ali C2)? Smisel za pripravo vizualnih in tekstovnih oglasov? Kreativno žilico in smisel za postavljanje celovitih digitalnih kampanj? V tem primeru pošlji CV na e-naslov. "
klicni center,6.00,kamnik,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Potrebujejo osebo z odličnim znanjem italijanskega jezika (pisno in govorno) za delo v oddelku za podporo uporabnikom. Imate prijeten glas, občutek za ljudi, odlične komunikacijske sposobnosti in sposobnost prilagajanja komunikacijskemu nivoju stranke? V tem primeru jim pošljite CV na e-naslov. Ponujajo delo v prijetnem in urejenem kolektivu. "
pomoč v strežbi,4.65,žirovnica,1,dlje časa (občasno),izmensko,začasno in občasno delo,"Plačilo je od 5, 5 do 7, 5 € bruto/h. Pogoj je starost nad 18 let. "
pomoč pri prodaji,4.22,dob,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,Pomoč pri prodaji obutve. Pogoj je starost nad 18 let. Prijavo s kontaktnimi podatki pošljite na e-mail. 
administrativna dela,4.23,poslovalnica trebnje,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,"Banka išče študenta/študentko za pregled, urejanje in skeniranje dokumentacije v poslovalnici. Pričetek dela čim prej. Pošljite CV na naveden elektronski naslov (+št. oglasa). . "
blagajnik,5.80,ljubljana,2,dlje časa (občasno),izmensko,začasno in občasno delo,"Mednarodna trgovska veriga potrebuje polnoletno osebo za delo na blagajni in pomoč v trgovini. Ob nedeljah in praznikih je bruto urna postavka 9, 18 €. "
strežba,5.50,ljubljana center,1,dlje časa (občasno),izmensko,začasno in občasno delo,Potrebujejo polnoletno osebo za strežbo pijače in hrane. Izkušnje so zaželene. 
blagajnik,5.07,ljubljana fužine,2,dlje časa (občasno),dopoldan,začasno in občasno delo,"Podjetje išče urejeno, komunikativno in zanesljivo polnoletno osebo za blagajniško poslovanje. Prednost imajo osebe z že pridobljenimi izkušnjami pri tovrstnem delu. Prijave s CV-jem in opisom izkušenj sprejemajo na e-mail, s pripisom v zadevi: Razpis študenta/ke za delo v Ljubljani Fužine. "
administrativna dela,4.22,ljubljana,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri izvedbi projekta vzpostavitve NTO operativnega centra (operativno-administrativna pomoč = sledenje, posodabljanje časovnice aktivnosti, komunikacija s kadrovsko glede vseh on-boardingov, hiring postopkov, posodabljanje rednih poročil). Urna postavka od 5 do 6 € bruto. Prijavo s CV pošljite na e-naslov (obvezen pripis šifre dela). "
administrativna delastrokovna admin. dela,4.22,ljubljana,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri operativno/administrativnih delih (organizacija sestankov, komunikacija z vodji, pomoč kadrovski službi, priprava poročil). Prednost kandidati s poznavanjem SAP-a. Dopoldanski delovnik. Urna postavka od 5 do 6 € bruto (odvisno od predznanja, motivacije). Prijavo s CV-jem pošljte na e-naslov (obvezen pripis šifra dela). "
prodaja,5.00,ljubljana,1,dlje časa (občasno),med vikendom,začasno in občasno delo,Podjetje išče vestno in komunikativno osebo za prodajo bio izdelkov na tržnici (v notranjih prostorih). Delo poteka le ob sobotah v dopoldanskem času. 
administrativna delastrokovna admin. dela,4.22,ljubljana,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč na globalnem projektu podjetja (opravljanje analiz, razna administrativna dela). Pogoj. odlično - napredno znanje Excela ter odlično znanje angleškeja jezika. Urna potavka od 5 do 6 € bruto (odvisno od predznanja, motivacije). Možnost kasnejše redne zaposlitve. Prjavo s CV pošljite na e-naslov (pripišite še šifro dela). "
prodaja,5.00,ljubljana,1,dlje časa (občasno),izmensko,začasno in občasno delo,Iščejo osebo za prodajo hrane. Zaželene izkušnje. Delovni čas po dogovoru. 
blagajnikdelo v trgovini,5.07,lucija,4,dlje časa (občasno),izmensko,začasno in občasno delo,Podjetje išče več oseb za delo v trgovini in za delo na blagajni. Pogoj je starost nad 18 let. Nedelje plačane 8 €/h bruto. 
